Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,Average
Murders,45,51,63,87,59,51,47,40,39,22,34,39,40,,47
Rapes,317,324,304,243,328,342,296,282,343,367,396,376,514,,341
Robberies,1250,1193,1421,1442,1432,1280,1045,951,946,926,1143,1165,1132,,1179
Assaults,1462,1539,1743,2718,2673,2652,2164,2088,2165,1976,2135,2291,2401,,2154
Burglaries,5642,6117,7097,7322,7360,6543,5694,5173,4763,4501,4868,5129,4918,,5779
Thefts,14621,15467,14839,15590,18518,13376,11594,10547,12628,12944,14040,14544,15306,,14155
Auto thefts,6935,7441,7128,7538,8024,6347,5121,3596,3488,3226,3587,3670,3487,,5353
Arson,345,283,228,166,256,198,178,147,136,128,95,97,96,,181
,,,,,,,,,,,,,,,
Crimes-index,434.6,446.7,482,532,558.5,477.4,398.4,341.2,351.7,336.7,373.3,374.6,381.6,,
